|-1|,|after sever year of tortur in the hand of at&t custom servic i am delight to drop them and look forward to august 2004 when i will convert our other 3 family-phon from at&t to t-mobil|
|-1|,|! the dai final arriv when i wa sure i 'd leav sprint|
|-1|,|after year with that carrier 's expens plan and horribl custom servic portabl seem heaven-s|
|-1|,|i spent hour sett up the station ( accept about 1|,3-1|,4 i believ ) though the recept is unpredict|
|-1|,|the headset that come with the phone ha good sound volum but it hurt the ear like you cannot imagin|
|-1|,|! the phone come with okai rington some decent background / screensav but the phone ha veri littl memori ( mine had 230kb as it arriv from amazon so you do n't have too mani option on what you can put on there )|
|-1|,|the color on the screen ar not as crisp as i 'd have like them to be|
|-1|,|the backlight on the phone goe off wai too quickli ( danger when you 're drive at night ) and there 's no wai to chang thi -- the button on the phone ar small even for my small fingertip but you get us to them rather quickli|
|-1|,|the menu option ar uncr as you can 't see a full screen of menu item to pick from you have to scroll up and down to find what you 're look for ( ye thi is minor but not when you 're try to keep your eye on the road|
|-1|,|! )|
|-1|,|the bodycover is so ugly|
|-1|,|i have excel hear but the volum level on thi phone is especi quiet|
|-1|,|i assum thei had except servic but their recept in my area ( lo angel ) is horrend|
|-1|,|also their t-zone although cheap ( $ 499 / mo ) never work|
|-1|,|sinc i receiv the phone i spent countless hour on the phone with custom servic rep who promis t-zone would work "		in		24		hour		"|
|-1|,|i must have heard thi about a dozen time over the span of 2 week when t-zone never work|
|-1|,|appar t-mobil is heavili back-logg and can 't keep up with demand|
|-1|,|howev the call constantli drop in my area and i experinc mega-stat to the point where i 'd have to dial number 201|,5/07/06 time to get a clear line|
|1|,|there is much which has been said in other reviews about the features of this phone it is a great phone mine worked without any problems right out of the box|
|1|,|i have had the phone for 1|, week the signal quality has been great in the detroit area ( suburbs ) and in my recent road trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75 far superior to at &#38 t 's which does not work along several long stretches on that same route|
|1|,|my favorite features although there are many are the speaker phone the radio and the infrared|
|1|,|the speaker phone is very functional and i use it in the car very audible even with freeway noise|
|1|,|the infrared is a blessing if you have a previous nokia and want to transfer your old phone book to this phone saved me hours of re-entering my numbers|
|1|,|here 's the brief synopsis : the phone is tiny cute feels kind of " plastic-like " ( as if it might break ) but seems pretty sturdy|
|1|,|it has lots of little cute features my favorite being the games and the pim ( personal information manager -- ie organizer ) and the radio !|
|1|,|the headset that comes with the phone has good sound volume but it hurts the ears like you cannot imagine !|
|1|,|the phone comes with okay ringtones some decent backgrounds / screensavers but the phone has very little memory ( mine had 230kb as it arrived from amazon so you do n't have too many options on what you can put on there )|
|1|,|on the up-side the phone has amazing battery life|
|1|,|i do like this phone overall ( would give it a 35 ) but unforutnately i am returning it|
|1|,|in all fairness customer reps are very nice and they ( most of them ) try hard to answer your questions|
|1|,|t-mobile is trying very hard and again -- they do have pretty good csr 's|
|1|,|i 'm staying with sprint and though i fear that their csr is n't nearly as good as t-mobile 's the clarity of their reception is exceptional|
|1|,|while i like the performance of the phone in every regard i would buy another one solely upon the apparent indestructibility of it|
|1|,|i highly recommend a nokia 661|,0|
|1|,|no other color phone has the combination of features that the 661|,0 offers|
|1|,|from the speakerphone that can be used up to 1|,5 feet away with clarity to the downloadable poly-graphic megatones that adds a personal touch to this nifty phone|
|1|,|whether you 're taking a brisk jog waiting for a bus or just having lunch at the park you 'll be glad you had the fm radio|
|1|,|i treat the battery well and it has lasted|
